"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
"Popular Group / King ရေခွက်","620","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ရေပုံး","618","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ဦးထုပ်","621","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / MOANA  Brush","3583","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / MOANA  ‌‌‌ဂေါ်ပြား","3631","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / MOANA Box","3412","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / MOANA ချိတ်","3633","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ခြင်း","3634","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ဇကာ","3613","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / MOANA ဇလုံ","3635","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ထွေးခံ","3637","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / MOANA ရေပုံး","3636","Standard Price","Periodic (at closing)","","","","","","",""
"Popular Group / Mango  Brush","623","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Mango Box","2871","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Mango ဇလုံ","626","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Mango တံမျက်စည်း","624","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Mango ဖလား","625","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / ORDER","648","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit Box","672","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit Foot Mass","678","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ကတော့","662","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ခုံ","676","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ချိတ်","663","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ခြင်း","653","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ခွက်","667","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဂေါ် ပြား","658","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဂျိုင့်","666","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit စင်","655","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit စဉ့်နီတုံး","661","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit စားပွဲ","677","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဆပ်ပြာခွက်","673","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဆီးအိုး","657","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဇကာ","652","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဇလုံ","651","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ပန်းအိုး","669","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ပုဂံ","671","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဖလား","670","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ဘူး","660","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
