"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
"SOGO.","375","Standard Price","Automated","","","","","","",""
"SOGO. / Base Box","270","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Board","272","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Breaker Box","277","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Choke","281","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / FX  Design","290","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Globe","3294","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Joint Box","304","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PDI  Design","309","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PPI  Design","310","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PRU  Design","311","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PSG  Design","312","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PSI  Design","313","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PSK  Design","314","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PSO  Design","315","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / PSR  Design","316","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Plug","322","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / SG  Design","331","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO. / Sogo Clip","283","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
