Company ID,Category ID,External ID,Category,Source valuation,Before,Verified after,Status
1,3637,__export__.product_category_3637_88808c0e,Popular Group / MOANA ထွေးခံ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3636,__export__.product_category_3636_aa70904c,Popular Group / MOANA ရေပုံး,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,623,__import__.pp_pc_47,Popular Group / Mango  Brush,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,2871,__export__.product_category_2871_2bb9e4b6,Popular Group / Mango Box,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,626,__import__.pp_pc_50,Popular Group / Mango ဇလုံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,624,__import__.pp_pc_48,Popular Group / Mango တံမျက်စည်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,625,__import__.pp_pc_49,Popular Group / Mango ဖလား,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,648,__import__.pp_pc_74,Popular Group / ORDER,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,672,__import__.pp_pc_99,Popular Group / Summit Box,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,678,__import__.pp_pc_105,Popular Group / Summit Foot Mass,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,662,__import__.pp_pc_89,Popular Group / Summit ကတော့,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,676,__import__.pp_pc_103,Popular Group / Summit ခုံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,663,__import__.pp_pc_90,Popular Group / Summit ချိတ်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,653,__import__.pp_pc_80,Popular Group / Summit ခြင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,667,__import__.pp_pc_94,Popular Group / Summit ခွက်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,658,__import__.pp_pc_85,Popular Group / Summit ဂေါ် ပြား,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,666,__import__.pp_pc_93,Popular Group / Summit ဂျိုင့်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,655,__import__.pp_pc_82,Popular Group / Summit စင်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,661,__import__.pp_pc_88,Popular Group / Summit စဉ့်နီတုံး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,677,__import__.pp_pc_104,Popular Group / Summit စားပွဲ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,673,__import__.pp_pc_100,Popular Group / Summit ဆပ်ပြာခွက်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,657,__import__.pp_pc_84,Popular Group / Summit ဆီးအိုး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,652,__import__.pp_pc_79,Popular Group / Summit ဇကာ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,651,__import__.pp_pc_78,Popular Group / Summit ဇလုံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,669,__import__.pp_pc_96,Popular Group / Summit ပန်းအိုး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,671,__import__.pp_pc_98,Popular Group / Summit ပုဂံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,670,__import__.pp_pc_97,Popular Group / Summit ဖလား,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,660,__import__.pp_pc_87,Popular Group / Summit ဘူး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,654,__import__.pp_pc_81,Popular Group / Summit မုန့်စင်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,659,__import__.pp_pc_86,Popular Group / Summit မှန်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,668,__import__.pp_pc_95,Popular Group / Summit ယပ်တောင်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,679,__import__.pp_pc_106,Popular Group / Summit ရေခဲဘူး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,665,__import__.pp_pc_92,Popular Group / Summit ရေတကောင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,674,__import__.pp_pc_101,Popular Group / Summit ရေပုံး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,664,__import__.pp_pc_91,Popular Group / Summit လင်ဗန်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,675,__import__.pp_pc_102,Popular Group / Summit အမှိုက်ပုံး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,656,__import__.pp_pc_83,Popular Group / Summit အုပ်ဆောင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,608,__import__.pp_pc_31,Popular Group / ခုံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,596,__import__.pp_pc_19,Popular Group / ချိတ်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
