Company ID,Category ID,Category,Source valuation,Before,After
2,351,ရေတိုင်ကီ Group / ရေတိုင်ကီ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,352,Water Tap,Manual,Perpetual (at invoicing),Periodic (at closing)
2,353,Fitting Group. / Way Tee,Manual,Perpetual (at invoicing),Periodic (at closing)
2,354,SOGO Window Profile / Window,Manual,Perpetual (at invoicing),Periodic (at closing)
2,355,SOGO Window Profile / Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing)
2,356,Fitting Group. / Y DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,358,ဘိုထိုင်ကြွေအိုး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,363,SOGO Gutter,Manual,Perpetual (at invoicing),Periodic (at closing)
2,365,Popular Pipe (Cancel),Manual,Perpetual (at invoicing),Periodic (at closing)
2,366,Mango Pipe,Manual,Perpetual (at invoicing),Periodic (at closing)
2,367,Mango Hose,Manual,Perpetual (at invoicing),Periodic (at closing)
2,373,Fitting Group.,Manual,Perpetual (at invoicing),Periodic (at closing)
2,374,SOGO Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing)
2,375,SOGO.,Manual,Perpetual (at invoicing),Periodic (at closing)
2,376,Trunking,Manual,Perpetual (at invoicing),Periodic (at closing)
2,579,Popular Group / ဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,580,Popular Group / ရေခဲဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,581,Popular Group / ရေခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,582,Popular Group / ရေတကောင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,583,Popular Group / ပုဂံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,584,Popular Group / ဆပ်ပြာခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,585,Popular Group / ထွေးခံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,586,Popular Group / ဆီးအိုး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,587,Popular Group / Brush,Manual,Perpetual (at invoicing),Periodic (at closing)
2,588,Popular Group / အိမ်သာ Brush,Manual,Perpetual (at invoicing),Periodic (at closing)
2,589,Popular Group / လင်ဗန်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,590,Popular Group / ဦးထုပ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,591,Popular Group / ယပ်တောင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,592,Popular Group / ဖလား,Manual,Perpetual (at invoicing),Periodic (at closing)
2,593,Popular Group / ရေမှုတ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,594,Popular Group / ‌‌‌ဂေါ်ပြား,Manual,Perpetual (at invoicing),Periodic (at closing)
2,595,အိမ်သာခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,596,Popular Group / ချိတ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,597,Popular Group / ဇကာ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,598,Popular Group / ခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,599,Popular Group / BOX,Manual,Perpetual (at invoicing),Periodic (at closing)
2,600,Popular Group / ရေပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,601,Popular Group / ဇလုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,602,Popular Group / အုပ်ဆောင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,603,Popular Group / အမှိုက်ပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,604,Popular Group / အံဆွဲ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,605,Popular Group / စင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,606,Popular Group / မုန့်ကဒ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,607,Popular Group / စားပွဲ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,608,Popular Group / ခုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,609,ရေသန့်ဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,610,Thinwall,Manual,Perpetual (at invoicing),Periodic (at closing)
2,611,Popular Group / King ဖလား,Manual,Perpetual (at invoicing),Periodic (at closing)
2,612,Popular Group / King ဇလုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,613,Popular Group / King ခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,614,Popular Group / King ချိတ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,615,Popular Group / King ခုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,616,Popular Group / King  အုပ်ဆောင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,617,Popular Group / King ဇကာ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,618,Popular Group / King ရေပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,619,Popular Group / King ဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,620,Popular Group / King ရေခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,621,Popular Group / King ဦးထုပ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,622,Popular Group / King ထွေးခံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,623,Popular Group / Mango  Brush,Manual,Perpetual (at invoicing),Periodic (at closing)
2,624,Popular Group / Mango တံမျက်စည်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,625,Popular Group / Mango ဖလား,Manual,Perpetual (at invoicing),Periodic (at closing)
2,626,Popular Group / Mango ဇလုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,627,ပန်းအိုး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,628,နို့ဆီပုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,629,ကြက်စာခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
